ticker
AAPL
MSFT
GOOGL
META
NVDA
AMZN
TSLA
AVGO
ORCL
ADBE
CRM
AMD
INTC
CSCO
QCOM
IBM
TXN
SHOP
NOW
INTU
PLTR
SNOW
DDOG
NET
CRWD
ZS
PANW
FTNT
MDB
OKTA
ARM
AI
SOUN
IONQ
BBAI
NTNX
PATH
S
ESTC
TEAM
GTLB
CFLT
HUBS
BILL
TWLO
DOCN
FROG
MNDY
AMBA
JPM
BAC
WFC
GS
MS
C
AXP
BLK
BX
SCHW
V
MA
SOFI
UPST
AFRM
HOOD
COIN
SQ
PYPL
JNJ
UNH
PFE
ABBV
LLY
MRK
ABT
TMO
DHR
AMGN
GILD
ISRG
CVS
ELV
MDT
ARWR
BEAM
EDIT
EXEL
HIMS
DOCS
PRVA
HD
NKE
MCD
SBUX
LOW
TJX
BKNG
ABNB
MAR
F
GM
DECK
CROX
RH
ANF
BIRK
PINS
RBLX
WMT
COST
PG
KO
PEP
PM
MO
CL
MDLZ
XOM
CVX
COP
EOG
SLB
OXY
FANG
TPL
MTDR
BA
GE
CAT
UPS
RTX
LMT
NOC
HON
DE
MMM
UNP
RKLB
PWR
BLDR
NFLX
DIS
T
VZ
TMUS
SPOT
RDDT
NEE
DUK
AMT
PLD
LIN
SHW
