ticker,date,action,shares
FTNT,2025-04-07,SELL,1
FTNT,2025-04-07,BUY,1
FTWG.L,2025-02-11,BUY,1
FTWG.L,2025-07-03,SELL,1
GD,2024-10-25,BUY,1
GD,2024-10-25,BUY,1
GD,2024-11-14,SELL,2
GE,2024-10-25,BUY,1
GEV,2024-10-25,BUY,1
GEV,2025-04-07,SELL,1
GEV,2025-04-07,BUY,1
GLDW.L,2025-01-27,BUY,1
GOOD,2024-10-25,BUY,1
GOOD,2024-11-14,SELL,1
GOOGL,2024-10-25,BUY,1
GOOGL,2025-04-07,SELL,1
GOOGL,2025-04-07,BUY,1
GRAB,2025-09-17,BUY,1
GWW,2024-10-25,BUY,1
GWW,2024-11-14,SELL,1
HEAW.L,2025-01-29,BUY,1
HEAW.L,2025-01-29,BUY,1
HEAW.L,2025-03-05,SELL,2
HERG.L,2025-02-07,BUY,1
HERG.L,2025-02-07,BUY,1
HERG.L,2025-04-07,SELL,2
HII,2024-10-25,BUY,1
HOC.L,2025-03-17,BUY,1
HPE,2024-10-25,BUY,1
HPE,2025-04-07,SELL,1
HPE,2025-04-07,BUY,1
HWM,2024-10-25,BUY,1
HWM,2024-10-25,BUY,1
IBM,2024-10-25,BUY,1
IBM,2024-11-14,SELL,1
ICL,2025-02-03,BUY,1
ICL,2025-02-03,BUY,1
ICL,2025-08-12,SELL,2
ICSU.L,2025-01-27,BUY,1
ICSU.L,2026-01-15,SELL,1
IIND.L,2024-11-12,BUY,1
IIND.L,2025-02-03,SELL,1
INTL.L,2026-04-16,BUY,1
IRM,2024-10-25,BUY,1
IRM,2025-04-07,SELL,1
IRM,2025-04-07,BUY,1
ITW,2024-10-25,BUY,1
ITW,2024-11-14,SELL,1
IUHC.L,2024-11-11,BUY,1
IUHC.L,2024-11-11,BUY,1
IUHC.L,2025-01-29,SELL,2
IUVF.L,2026-04-16,BUY,1
JNJ,2024-10-25,BUY,1
JNJ,2024-11-14,SELL,1
JPM,2024-10-25,BUY,1
JPM,2024-11-14,SELL,1
KLAC,2024-10-25,BUY,1
KLAC,2025-04-07,SELL,1
KLAC,2025-04-07,BUY,1
KLAC,2025-04-07,BUY,1
KMB,2024-10-25,BUY,1
KMB,2024-10-25,BUY,1
KMB,2024-11-14,SELL,2
KO,2024-10-25,BUY,1
KO,2024-11-14,SELL,1
KSS,2025-12-22,BUY,1
KTOS,2024-10-25,BUY,1
LDOS,2024-10-25,BUY,1
LGEN.L,2025-08-12,BUY,1
LHX,2024-10-25,BUY,1
LMT,2024-10-25,BUY,1
LOW,2024-10-25,BUY,1
LOW,2024-11-14,SELL,1
LRCX,2024-10-25,BUY,1
LRCX,2025-04-07,SELL,1
LRCX,2025-04-07,BUY,1
LTC,2024-10-25,BUY,1
LTC,2024-10-25,BUY,1
LTC,2024-11-14,SELL,2
MA,2024-10-25,BUY,1
MA,2024-11-14,SELL,1
MAIN,2024-10-25,BUY,1
MAIN,2024-11-14,SELL,1
MCD,2024-10-25,BUY,1
MCD,2024-11-14,SELL,1
MDB,2025-01-22,BUY,1
MDB,2025-04-07,SELL,1
META,2024-10-24,BUY,1
META,2024-10-25,SELL,1
META,2024-10-25,BUY,1
META,2025-04-07,SELL,1
META,2025-04-07,BUY,1
MP,2025-07-22,BUY,1
MRVL,2024-12-04,BUY,1
MRVL,2025-01-31,SELL,1
MSFT,2024-10-25,BUY,1
MSFT,2024-11-14,SELL,1
MSTR,2025-03-18,BUY,1
MSTR,2025-03-28,SELL,1
MSTR,2025-04-02,BUY,1
MSTR,2025-04-04,BUY,1
MSTR,2025-04-07,BUY,1
MSTR,2025-04-09,BUY,1
MSTR,2025-04-14,BUY,1
MSTS.L,2025-04-07,BUY,1
MSTS.L,2025-04-07,SELL,1
MU,2024-10-25,BUY,1
MU,2025-04-07,SELL,1
MU,2025-04-07,BUY,1
MVST,2025-02-18,BUY,1
NCLP.L,2026-01-05,BUY,1
NET,2024-10-25,BUY,1
NET,2025-04-07,SELL,1
NET,2025-04-07,BUY,1
NOC,2024-10-25,BUY,1
NRG,2024-10-25,BUY,1
NRG,2025-04-07,SELL,1
NRG,2025-04-07,BUY,1
NUE,2024-10-25,BUY,1
NUE,2024-11-14,SELL,1
NVDA,2024-10-25,BUY,1
NVDA,2025-04-07,SELL,1
NVDA,2025-04-07,BUY,1
NVO,2025-08-26,BUY,1
O,2024-10-25,BUY,1
O,2024-11-14,SELL,1
OKTA,2024-10-25,BUY,1
OKTA,2025-04-07,SELL,1
OKTA,2025-04-07,BUY,1
ORN,2025-12-22,BUY,1
PANW,2024-10-25,BUY,1
PANW,2025-04-07,SELL,1
PANW,2025-04-07,BUY,1
PCG,2025-10-06,BUY,1
PEP,2024-10-25,BUY,1
PEP,2024-11-14,SELL,1
PG,2024-10-25,BUY,1
PG,2024-11-14,SELL,1
PL,2026-03-10,BUY,1
PLMR,2026-01-20,BUY,1
PLTR,2024-10-25,BUY,1
PLTR,2025-04-07,SELL,1
PLTR,2025-04-07,BUY,1
PNR,2024-10-25,BUY,1
PNR,2024-11-14,SELL,1
PPG,2024-10-25,BUY,1
PPG,2024-11-14,SELL,1
PRVA,2025-02-18,BUY,1
PRVA,2025-04-07,SELL,1
PSEC,2024-10-25,BUY,1
PSEC,2024-11-14,SELL,1
QBTS,2025-08-11,BUY,1
QCOM,2024-10-25,BUY,1
QCOM,2025-04-07,SELL,1
QCOM,2025-04-07,BUY,1
RHM.DE,2024-10-25,BUY,1
RKLB,2025-01-03,BUY,1
RKLB,2025-01-10,BUY,1
ROBO.L,2025-09-17,BUY,1
ROBO.L,2025-09-17,BUY,1
ROP,2024-10-25,BUY,1
ROP,2024-11-14,SELL,1
